employer_name,employer_phone,employer_email,employer_hq_address,employer_hq_in_dc,employer_home_url,employer_employment_url,employer_notes,employer_box_present,employer_crime_type_asked,employer_years_specified,Accounting,Administrative,Banking,Construction,Business,Creative,Customer Support,Editorial,Education,Engineering,Hospitality,Human Resources,Software,Maintenance,Legal,Logistics,Manufacturing,Marketing,Medical,Other,Project,Government,Non-profit,Sales,Security,position_title,position_phone,position_location,job_posted,collateral_sanction_applies,which_collateral_sanction
CoStar Group,,,,,,,,,,,y,,y,y,,,,,y,,,,,y,,,y,,y,,,,,,,CoStar Group,,"Washington DC, District Of Columbia",http://my.jobs/D055E8AC7BCA4E22A234F324908F621C,,
CoStar Group,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,y,,,,,,,CoStar Group,,"Washington DC, District Of Columbia",http://my.jobs/9D4D899AB9774A18BDCF3C9F1E729F55,,
Applied Memetics LLC,,,,,,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,Applied Memetics LLC,,"Washington, District Of Columbia",http://my.jobs/780D4B78FBE04CEC9E7ACB7F7A915632,,
Accenture,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,y,Accenture,,"WASHINGTON, DC, District Of Columbia",http://my.jobs/74121D0556FF40FBBB5EC0EE59412980,,
NANA Regional Corporation,,,,,,,,,,,,,,,,,,,,,,,y,y,y,,y,,,,,y,,,y,NANA Regional Corporation,,"Washington, District Of Columbia",http://my.jobs/95833833C02F4BA8BD83ED43FBD6200F,,
"Tech-Marine Business, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tech-Marine Business, Inc.",,"Washington, District Of Columbia",http://my.jobs/37C945900EF44D31961C2A8CB601DA37,,
Hyatt,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,Hyatt,,"WASHINGTON, District Of Columbia",http://my.jobs/0E6102A7969C43769BC86C29333C6B24,,
NANA Regional Corporation,,,,,,,,,,,,,,,,,,,,,,,y,y,y,,,,,,,y,,,y,NANA Regional Corporation,,"Washington, District Of Columbia",http://my.jobs/1C1B738789434754B2347F6FB3F8D4DB,,
Providence Hospital,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,Providence Hospital,,"Washington, District Of Columbia",http://my.jobs/09B2AEC978524573AB0095F72DDADC05,,
CoStar Group,,,,,,,,,,,y,y,y,y,y,,,,y,y,,,y,y,,,y,y,y,,,,,,y,CoStar Group,,"Washington DC, District Of Columbia",http://my.jobs/86E01813227F408AB50E046FE52E8BC1,,
Defense Point Security,,,,,,,,,,,,,,,y,,,,,y,,,,,,,y,,,,,y,,,y,Defense Point Security,,"Washington, District Of Columbia",http://my.jobs/59EC7DAE3CF14B70B5C70217D1BD1917,,
Oracle,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,y,,Oracle,,District Of Columbia,http://my.jobs/06B81521857446219A542A496ABDA6CD,,
Defense Point Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Defense Point Security,,"Washington, District Of Columbia",http://my.jobs/C934C359AC604D7BA35D21AEED0F4AB6,,
Defense Point Security,,,,,,,,,,,,,,,,,,,,y,,,,y,,,y,,,,,,,,y,Defense Point Security,,"Washington, District Of Columbia",http://my.jobs/3A4648E213A24761A2798E68D5F62B6D,,
American Institutes for Research,,,,,,,,,,,,,,,y,,,,y,y,,,y,,,,,,,,y,,,,,American Institutes for Research,,District Of Columbia,http://my.jobs/EAB8B48EEC614CC7912AF99F5BFCEBE0,,
Deloitte,,,,,,,,,,,y,y,,y,y,,,,y,,,,y,,y,,y,y,,,y,,,y,,Deloitte,,"Washington, District Of Columbia",http://my.jobs/F2960EA24AEE47C5858139B522B77F73,,
"M. C. Dean, Inc",,,,,,,background check,,,,y,y,,,,,,,y,y,,,,,,,y,,y,,,y,,y,y,"M. C. Dean, Inc",,"Washington, District Of Columbia",http://my.jobs/938FF5D6B26543E6860EB3FC9B9E032D,,
Aegis Therapies,,,,,,,,,,,y,,,y,,,,,y,,,,,y,,,y,,y,,,,,,,Aegis Therapies,,"Washington, District Of Columbia",http://my.jobs/B483434F5FB24960BB5E444FE0171AEA,,
Starbucks Coffee Company,,,,,,,,,,,y,,,y,y,,,,y,,,,,,,,y,,y,,,,,y,,Starbucks Coffee Company,,"Washington, District Of Columbia",http://my.jobs/A64C7540EEF149DB84F41288D6ED1125,,
World Resources Institute,,,,,,,,,,,,,,y,y,,,,,y,,,,,,,,,,,y,y,y,,,World Resources Institute,,"Washington, District Of Columbia",http://my.jobs/CFC87D45E1744B51AB9EC4C12C9377C8,,
Sirius XM Radio Inc.,,,,,,,,,,,,,,,y,,,,y,,,,y,y,y,,y,,,,,,,y,y,Sirius XM Radio Inc.,,"Washington, District Of Columbia",http://my.jobs/7663D3078DB746C19FCB79883CE5F49A,,
Charter Communications,,,,,,,,,,,y,y,,,y,,,,y,,,,,,,,,,,,,,,,,Charter Communications,,"WASHINGTON, District Of Columbia",http://my.jobs/4BEC36A437AF48E0996BAF1E058D5472,,
Washington Hospital Center,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,Washington Hospital Center,,"Washington, District Of Columbia",http://my.jobs/026D774882C045368B6E1F2D6A7DB5C5,,
Triumph Enterprises--Corporate Headquarters,,,,,,,,,,,,,,y,y,,,,y,y,,y,,,,,,,,,y,y,,,y,Triumph Enterprises--Corporate Headquarters,,District Of Columbia,http://my.jobs/CC983354C26E41F2B38209AF4444F354,,
World Resources Institute,,,,,,,,,,,y,,,,y,,,,,,,,,,,,y,y,,,,y,y,y,,World Resources Institute,,"Washington, District Of Columbia",http://my.jobs/32293E37D24B47299DEE2D374E9F501A,,
Gap Inc.,,,,,,,,,,,,,,,y,,,,y,,,,,,,,y,,,,,,,y,,Gap Inc.,,"WASHINGTON, District Of Columbia",http://my.jobs/7089A012003D4B51B025BED96AAB550A,,
American Systems,,,,,,,,,,,,,,,y,,,,y,y,,,,,,,,,,,,,,,y,American Systems,,"Washington, District Of Columbia",http://my.jobs/0F85FB27DDF247FB8D155FEBC43E344E,,
eGlobalTech,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,,,,,,,y,eGlobalTech,,"Washington, District Of Columbia",http://my.jobs/A83F7955F1E846D6BB85567EC76B0E0D,,
eGlobalTechInc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eGlobalTechInc,,"Washington, District Of Columbia",http://my.jobs/BF72DC463477442FA84F4350F99DCC82,,
Washington Hospital Center,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,Washington Hospital Center,,"Washington, District Of Columbia",http://my.jobs/E8A8321DF8464524AE90DB524B1F5F06,,
"The Computer Merchant, Ltd.",,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,,,,,,,y,"The Computer Merchant, Ltd.",,"Washington, District Of Columbia",http://my.jobs/514F876755124842BE2AAE85F7FE402D,,
TD Bank,,,,,,,,,,,y,,y,y,y,,,,y,,,,,y,y,,y,,y,,,,,y,,TD Bank,,"Washington, District Of Columbia",http://my.jobs/4A178A005C704F7A9938738AD6B1C3D8,,
Philips,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,y,y,,y,y,,y,,Philips,,"Washington, District Of Columbia",http://my.jobs/EEF84E833AB3403499CB745A228C134F,,
Leidos,,,,,,,,,,,,,,,y,,,,y,y,,,,,,,,,y,,,y,,,y,Leidos,,"Washington Dc, District Of Columbia",http://my.jobs/644FE12CE20748E883E0F58063CE43C0,,
Blue Cross and Blue Shield Association,,,,,,,,,,,y,,,,y,,,,,,,y,y,,,,y,,y,,y,,,,y,Blue Cross and Blue Shield Association,,"Washington, District Of Columbia",http://my.jobs/8297A36F4A274CAEA001F3300D871CD0,,
Hyatt,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,Hyatt,,"WASHINGTON, District Of Columbia",http://my.jobs/2EE9C3809EB7466494F367F56F19EF17,,
